end station id,end station latitude,end station longitude,end station name,count
3166,40.780577990103346,-73.98562431335448,Riverside Dr & W 72 St,4797
3167,40.779668090073116,-73.98093044757842,Amsterdam Ave & W 73 St,6059
3169,40.78720869,-73.98128127,Riverside Dr & W 82 St,2601
3170,40.78499979,-73.97283406,W 84 St & Columbus Ave,3682
3171,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,4287
3172,40.7785669,-73.97754961,W 74 St & Columbus Ave,2649
3173,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,4505
3175,40.77748046,-73.98288594,W 70 St & Amsterdam Ave,4507
3177,40.7867947,-73.977112,W 84 St & Broadway,2633
3178,40.78414472,-73.98362492,Riverside Dr & W 78 St,2103
3179,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd,744
3182,40.686931,-74.016966,Yankee Ferry Terminal,1792
3184,40.7141454,-74.0335519,Paulus Hook,1
3185,40.717732500000004,-74.04384499999999,City Hall,2
3192,40.711242299999995,-74.0557013,Liberty Light Rail,1
3195,40.73089709786179,-74.06391263008119,Sip Ave,2
3196,40.7443187,-74.04399090000001,Riverview Park,3
3198,40.748715945380226,-74.04044330120088,Heights Elevator,7
3199,40.728744799999994,-74.03210820000001,Newport Pkwy,4
3202,40.7272235,-74.03375890000001,Newport PATH,4
3206,40.7311689,-74.0575736,Hilltop,1
3221,40.743,-73.93561,47 Ave & 31 St,699
3226,40.78275,-73.97137,W 82 St & Central Park West,2788
3231,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,1356
3232,40.68962188790333,-73.98304268717766,Bond St & Fulton St,2561
3233,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,3075
3235,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,2285
3236,40.75898481399634,-73.99379968643187,W 42 St & Dyer Ave,3284
3241,40.686203000000006,-73.944694,Monroe St & Tompkins Ave,1499
3242,40.69102925677968,-73.99183362722397,Schermerhorn St & Court St,1515
3243,40.75892386377695,-73.96226227283478,E 58 St & 1 Ave (NE Corner),1181
3244,40.73143724085228,-73.99490341544151,University Pl & E 8 St,5339
3246,40.694281141397326,-73.99230033159256,Montague St & Clinton St,1775
3249,40.680356084043396,-73.94767910242079,Verona Pl & Fulton St,900
3254,40.69231660719192,-74.01486575603484,Soissons Landing,1720
3255,40.7505853470215,-73.9946848154068,8 Ave & W 31 St,6330
3256,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,8572
3259,40.74937024193277,-73.99923384189607,9 Ave & W 28 St,4577
3260,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,4573
3263,40.729514962249496,-73.99075269699097,Cooper Square & Astor Pl,5562
3273,40.72165072487999,-74.04288411140442,Manila & 1st,2
3275,40.71835519823214,-74.03891444206238,Columbus Drive,3
3282,40.78307,-73.95939,5 Ave & E 88 St,5686
3283,40.7882213,-73.97041561,W 89 St & Columbus Ave,3162
3284,40.781410700190015,-73.95595908164978,E 88 St & Park Ave,1735
3285,40.78839,-73.9747,W 87 St & Amsterdam Ave,2503
3286,40.7806284,-73.9521667,E 89 St & 3 Ave,2881
3287,40.789621999999994,-73.97757,W 87 St & West End Ave,2636
3288,40.778301,-73.9488134,E 88 St & 1 Ave,4186
3289,40.79017948095081,-73.97288918495178,W 90 St & Amsterdam Ave,2037
3290,40.7779453,-73.94604100000001,E 89 St & York Ave,2695
3292,40.785785100000005,-73.957481,5 Ave & E 93 St,2253
3293,40.7921,-73.9739,W 92 St & Broadway,2066
3294,40.7835016,-73.955327,E 91 St & Park Ave,1810
3296,40.78245417527987,-73.94891962409021,E 93 St & 2 Ave,1697
3297,40.668662700000006,-73.97988067,6 St & 7 Ave,1432
3298,40.686371,-73.99383324,Warren St & Court St,986
3299,40.788129999999995,-73.95206,E 98 St & Park Ave,1078
3300,40.66514681533792,-73.97637605667114,Prospect Park West & 8 St,1935
3301,40.7919557,-73.968087,Columbus Ave & W 95 St,5012
3302,40.7969347,-73.9643412291,Columbus Ave & W 103 St,848
3303,40.6849894,-73.99440329,Butler St & Court St,785
3304,40.668127,-73.98377641,6 Ave & 9 St,1125
3305,40.781122299341654,-73.94965589046478,E 91 St & 2 Ave,3550
3306,40.666207799999995,-73.98199886,10 St & 7 Ave,1135
3307,40.7941654,-73.974124,West End Ave & W 94 St,2687
3308,40.686175799999994,-73.99645295,Kane St & Clinton St,1245
3309,40.7859201,-73.94860294,E 97 St & 3 Ave,849
3310,40.663779,-73.98396846,14 St & 7 Ave,1504
3311,40.68763155,-74.0016256,Columbia St & Kane St,1035
3312,40.78172120000001,-73.94594000000001,1 Ave & E 94 St,2537
3313,40.666318100000005,-73.9854617,6 Ave & 12 St,1012
3314,40.7937704,-73.971888,W 95 St & Broadway,3308
3315,40.684751399999996,-73.99917254,Henry St & Degraw St,1190
